"#";"Name";"Quantity";"RefDes";"Value"
"1";"Capacitor, Ceramic";"1";"C1";"10n"
"2";"Capacitor, Ceramic";"1";"C2";"100p"
"3";"Capacitor, Ceramic";"5";"C3, C4, Ccouple, Cin, Cout";"100n"
"4";"Capacitor, Polyester";"1";"Cp";"100u"
"5";"1N4148";"1";"D1";""
"6";"Power Connection";"1";"J1";""
"7";"Probe";"1";"J2";""
"8";"LED-3mm Round Red";"1";"LED";""
"9";"2N7000";"1";"Q1";"2N7000"
"10";"BC238";"2";"Q2, Q3";"BC238"
"11";"Resistor320";"1";"R1";"100K"
"12";"Resistor320";"1";"R2";"82K"
"13";"Resistor320";"1";"R3";"100"
"14";"Resistor320";"1";"R4";"470K"
"15";"Resistor320";"2";"R5, RB2";"18K"
"16";"Resistor320";"1";"R6";"220K"
"17";"Resistor320";"2";"R7, R8";"10K"
"18";"Resistor320";"1";"R9";"2.2K"
"19";"Resistor320";"1";"RB1";"68K"
"20";"Resistor320";"1";"RB3";"56k"
"21";"Resistor320";"1";"RB4";"15K"
"22";"Resistor320";"1";"RC1";"4.7K"
"23";"Resistor320";"1";"RE1";"82"
"24";"Resistor320";"1";"RE2";"820"
"25";"Resistor320";"1";"RE3";"47"
"26";"Resistor320";"1";"RE4";"270"
"27";"Resistor320";"1";"RL";"470"
"28";"Trimpot";"1";"RP";"10K"
"29";"LM358";"1";"U1";"LM358"
